STATE n34-m289 44 {'local': False, 'aggregate': True, 'pair': False, 'joint': True} 0.03
STATE n34-m289 60 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.06
STATE n34-m289 125 {'local': False, 'aggregate': True, 'pair': False, 'joint': True} 0.09
STATE n34-m289 211 {'local': False, 'aggregate': True, 'pair': False, 'joint': True} 0.13
STATE n34-m289 2610 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.16
STATE n34-m289 3620 {'local': False, 'aggregate': False, 'pair': False, 'joint': True} 0.2
STATE n34-m289 4917 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.24
STATE n34-m289 9203 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.28
STATE n34-m289 11798 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.32
STATE n34-m289 13530 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.35
STATE n34-m289 13542 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.39
STATE n35-m306 1 {'local': False, 'aggregate': False, 'pair': False, 'joint': True} 0.42
STATE n35-m306 2 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.45
STATE n35-m306 6 {'local': False, 'aggregate': False, 'pair': False, 'joint': True} 0.47
STATE n35-m306 98 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.51
STATE n35-m306 136 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.55
STATE n35-m306 198 {'local': False, 'aggregate': True, 'pair': False, 'joint': True} 0.6
STATE n35-m306 218 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.63
STATE n35-m306 329 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.67
STATE n35-m306 386 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.7
STATE n35-m306 465 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.75
STATE n35-m307 1 {'local': False, 'aggregate': False, 'pair': False, 'joint': True} 0.78
STATE n35-m307 4 {'local': False, 'aggregate': True, 'pair': False, 'joint': True} 0.82
STATE n35-m307 5 {'local': False, 'aggregate': True, 'pair': False, 'joint': True} 0.85
STATE n35-m307 9 {'local': False, 'aggregate': True, 'pair': False, 'joint': True} 0.89
STATE n35-m307 10 {'local': False, 'aggregate': True, 'pair': False, 'joint': True} 0.92
STATE n35-m307 18 {'local': False, 'aggregate': False, 'pair': False, 'joint': False} 0.95
