state	E	gap	line
153	0	1	state=153 E=0 combos=73590 gap=1 h=0 z=5 filtered=1564 profiles=1564 cache2=3582 cache3=973 cachec=12293
153	1	1	state=153 E=1 combos=80239 gap=1 h=0 z=5 filtered=699 profiles=699 cache2=4013 cache3=1077 cachec=13719
153	2	1	state=153 E=2 combos=87081 gap=1 h=1 z=5 filtered=1971 profiles=1971 cache2=4484 cache3=1192 cachec=15278
153	3	1	state=153 E=3 combos=93996 gap=1 h=1 z=5 filtered=1100 profiles=2302 cache2=4996 cache3=1314 cachec=16960
153	4	1	state=153 E=4 combos=100999 gap=1 h=2 z=5 filtered=2805 profiles=4331 cache2=5555 cache3=1450 cachec=18785
153	5	1	state=153 E=5 combos=107955 gap=1 h=2 z=5 filtered=1809 profiles=5342 cache2=6160 cache3=1595 cachec=20740
153	6	1	state=153 E=6 combos=114874 gap=1 h=1 z=5 filtered=2365 profiles=7644 cache2=6815 cache3=1753 cachec=22840
153	7	1	state=153 E=7 combos=121612 gap=1 h=2 z=5 filtered=1235 profiles=6815 cache2=7515 cache3=1920 cachec=25065
153	8	1	state=153 E=8 combos=128180 gap=1 h=3 z=5 filtered=1069 profiles=6737 cache2=8267 cache3=2105 cachec=27430
153	9	1	state=153 E=9 combos=134427 gap=1 h=4 z=5 filtered=446 profiles=3422 cache2=9067 cache3=2300 cachec=29909
153	10	1	state=153 E=10 combos=140367 gap=1 h=3 z=5 filtered=194 profiles=1598 cache2=9917 cache3=2511 cachec=32511
153	11	1	state=153 E=11 combos=145849 gap=1 h=4 z=5 filtered=11 profiles=96 cache2=10808 cache3=2733 cachec=35199
153	12	1	state=153 E=12 combos=150896 gap=1 h=3 z=5 filtered=5 profiles=117 cache2=11744 cache3=2973 cachec=37979
153	13	2	state=153 E=13 combos=155361 gap=2 h=3 z=4 filtered=1 profiles=80 cache2=12717 cache3=3224 cachec=40808
153	14	4	state=153 E=14 combos=159278 gap=4 h=4 z=4 filtered=0 profiles=0 cache2=13726 cache3=3493 cachec=43685
153	15	2	state=153 E=15 combos=162510 gap=2 h=4 z=4 filtered=0 profiles=0 cache2=14760 cache3=3771 cachec=46556
153	16	9	state=153 E=16 combos=165108 gap=9 h=4 z=4 filtered=0 profiles=0 cache2=15821 cache3=4066 cachec=49418
153	17	10	state=153 E=17 combos=166948 gap=10 h=5 z=4 filtered=0 profiles=0 cache2=16891 cache3=4369 cachec=52211
153	18	14	state=153 E=18 combos=168098 gap=14 h=5 z=4 filtered=0 profiles=0 cache2=17972 cache3=4685 cachec=54929
153	19	18	state=153 E=19 combos=168452 gap=18 h=5 z=5 filtered=0 profiles=0 cache2=19043 cache3=5004 cachec=57505
153	20	22	state=153 E=20 combos=168098 gap=22 h=5 z=4 filtered=0 profiles=0 cache2=20106 cache3=5335 cachec=59934
153	21	24	state=153 E=21 combos=166948 gap=24 h=5 z=4 filtered=0 profiles=0 cache2=21140 cache3=5664 cachec=62148
153	22	29	state=153 E=22 combos=165108 gap=29 h=6 z=5 filtered=0 profiles=0 cache2=22144 cache3=5996 cachec=64144
153	23	29	state=153 E=23 combos=162510 gap=29 h=6 z=5 filtered=0 profiles=0 cache2=23093 cache3=6321 cachec=65855
153	24	28	state=153 E=24 combos=159278 gap=28 h=6 z=5 filtered=0 profiles=0 cache2=23992 cache3=6643 cachec=67285
153	25	36	state=153 E=25 combos=155361 gap=36 h=6 z=5 filtered=0 profiles=0 cache2=24814 cache3=6948 cachec=68373
153	26	42	state=153 E=26 combos=150896 gap=42 h=6 z=5 filtered=0 profiles=0 cache2=25562 cache3=7243 cachec=69132
153	27	57	state=153 E=27 combos=145849 gap=57 h=7 z=5 filtered=0 profiles=0 cache2=26210 cache3=7512 cachec=69508
153	28	61	state=153 E=28 combos=140367 gap=61 h=7 z=5 filtered=0 profiles=0 cache2=26766 cache3=7762 cachec=69528
153	29	78	state=153 E=29 combos=134427 gap=78 h=6 z=0 filtered=0 profiles=0 cache2=27202 cache3=7979 cachec=69149
153	30	89	state=153 E=30 combos=128180 gap=89 h=7 z=0 filtered=0 profiles=0 cache2=27530 cache3=8168 cachec=68410
153	31	87	state=153 E=31 combos=121612 gap=87 h=7 z=0 filtered=0 profiles=0 cache2=27722 cache3=8314 cachec=67280
153	32	84	state=153 E=32 combos=114874 gap=84 h=7 z=0 filtered=0 profiles=0 cache2=27792 cache3=8428 cachec=65812
153	33	84	state=153 E=33 combos=107955 gap=84 h=7 z=0 filtered=0 profiles=0 cache2=27718 cache3=8493 cachec=63987
153	34	103	state=153 E=34 combos=100999 gap=103 h=8 z=0 filtered=0 profiles=0 cache2=27517 cache3=8518 cachec=61869
