layer	state_id	S	Emax	profiles_tested	paircap_fail	paircap_pass	incidence_fail	incidence_pass	pairhall_fail	pairhall_pass	targethall_fail	targethall_pass	cost_fail	status	witness_E	witness_cost	witness_envelope	seconds	witness_rho	witness_q
0	961	45	34	67867377	67554695	312682	35258	277424	160012	117412	117412	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	87.4249		
0	1025	46	34	89071298	88831384	239914	11660	228254	132306	95948	95939	9	9	RELATIONAL_EXCLUDED	-1	-1	-1	110.735		
0	2620	53	34	2215617	2211778	3839	0	3839	2505	1334	1334	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	2.61269		
0	2706	55	34	64029159	63649432	379727	0	379727	142600	237127	237127	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	75.0098		
0	2897	54	34	2378329	2377160	1169	0	1169	1162	7	7	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	2.92083		
0	3007	55	34	21904987	21873532	31455	0	31455	24610	6845	6845	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	29.8634		
0	3139	56	34	12375424	12347193	28231	0	28231	7743	20488	20488	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	16.8096		
0	3202	54	34	9919899	9910047	9852	0	9852	7258	2594	2594	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	12.2278		
0	3302	55	34	1832565	1816654	15911	0	15911	8735	7176	7176	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	2.82314		
0	3359	56	34	7780201	7776302	3899	0	3899	3322	577	577	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	9.30777		
0	3480	57	34	25523976	25500570	23406	0	23406	9388	14018	14018	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	31.3362		
0	3599	56	34	4066350	4040013	26337	0	26337	10815	15522	15522	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	6.0623		
0	4145	59	34	4424001	4381314	42687	0	42687	27211	15476	15476	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	7.4489		
0	4559	54	34	42490951	42483818	7133	1951	5182	5092	90	90	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	47.1683		
0	4654	60	34	48882122	48876515	5607	1023	4584	2643	1941	1941	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	55.5496		
0	4994	56	34	30607524	30601669	5855	3678	2177	1897	280	280	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	26.3541		
