state	method	record
227	state-specific exact replay	STATE_227_WHOLE_STATE.md
279	state-specific exact replay	STATE_279_WHOLE_STATE.md
588	state-specific exact replay	STATE_588_WHOLE_STATE.md
526	state-specific exact replay	STATE_526_WHOLE_STATE.md
382	state-specific exact replay	STATE_382_WHOLE_STATE.md
519	state-specific exact replay	STATE_519_WHOLE_STATE.md
230	incidence-capacity family closure	INCIDENCE_CAPACITY_FAMILY_CLOSURE.md
282	incidence-capacity family closure	INCIDENCE_CAPACITY_FAMILY_CLOSURE.md
385	incidence-capacity family closure	INCIDENCE_CAPACITY_FAMILY_CLOSURE.md
153	low-demand extension closure	STATE_153_WHOLE_STATE.md
122	endpoint class-packing closure	STATE_122_WHOLE_STATE.md
283	endpoint class-packing closure	STATE_283_WHOLE_STATE.md
154	endpoint class-packing closure	STATE_154_WHOLE_STATE.md
231	mixed-class joint Hall closure	STATE_231_WHOLE_STATE.md
77	orientation target-capacity closure	STATE_77_WHOLE_STATE.md
60	orientation target-capacity closure	STATE_60_WHOLE_STATE.md
13518	potential-pair capacity closure	PAIR_CAPACITY_13518_13519_WHOLE_STATE.md
13519	potential-pair capacity closure	PAIR_CAPACITY_13518_13519_WHOLE_STATE.md
