layer	state_id	S	Emax	profiles_tested	paircap_fail	paircap_pass	incidence_fail	incidence_pass	pairhall_fail	pairhall_pass	targethall_fail	targethall_pass	target_gen1	target_gen2	target_gen3	target_gen4	target_gen5	target_gen6	target_gen7	target_gen8	target_gen9plus	target_maxgen	cost_fail	status	witness_E	witness_cost	witness_envelope	seconds	witness_rho	witness_q
0	226	41	34	18086360	17950550	135810	0	135810	71578	64232	64232	0	41	2055	14398	27185	16954	3596	3	0	0	7	0	RELATIONAL_EXCLUDED	-1	-1	-1	27.0622		
0	1626	47	34	39737018	39122404	614614	406066	208548	144723	63825	63818	7	113	3240	16995	26691	14194	2570	15	0	0	7	6	SURVIVES_RELATIONAL	4	28	28	60.7188	1,1,1,1,1,1,1,1,3,3,3,3,4,4,4,4,4,5	0,0,0,1,1,1,1,1,3,3,6,7,2,3,6,6,7,3
0	2439	53	34	27230627	27073949	156678	146	156532	108084	48448	48448	0	24	879	6831	18368	17173	4866	307	0	0	7	0	RELATIONAL_EXCLUDED	-1	-1	-1	38.7345		
0	2984	54	34	2969359	2958430	10929	8346	2583	898	1685	1681	4	15	136	383	612	436	98	1	0	0	7	3	SURVIVES_RELATIONAL	3	21	21	3.47016	1,1,1,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4	0,0,1,1,1,1,3,3,1,1,3,6,6,6,6,6,6,6
0	4073	58	34	1761119	1738561	22558	0	22558	8686	13872	13871	1	13	307	1942	4806	4787	1813	203	0	0	7	1	RELATIONAL_EXCLUDED	-1	-1	-1	3.35121		
0	5519	57	34	28907523	28864140	43383	37914	5469	4992	477	477	0	3	28	146	177	104	19	0	0	0	6	0	RELATIONAL_EXCLUDED	-1	-1	-1	31.1256		
0	6085	62	34	44912779	44897723	15056	141	14915	2655	12260	12260	0	0	19	509	2670	4826	3330	897	9	0	8	0	RELATIONAL_EXCLUDED	-1	-1	-1	48.9375		
0	6998	62	34	8916632	8913717	2915	3	2912	2350	562	562	0	0	6	101	247	176	32	0	0	0	6	0	RELATIONAL_EXCLUDED	-1	-1	-1	9.52704		
0	7610	60	34	14156458	14154644	1814	585	1229	1222	7	7	0	0	0	0	1	4	2	0	0	0	6	0	RELATIONAL_EXCLUDED	-1	-1	-1	15.0276		
0	8179	62	34	4578392	4576704	1688	121	1567	1314	253	253	0	0	2	34	111	86	20	0	0	0	6	0	RELATIONAL_EXCLUDED	-1	-1	-1	4.88932		
0	8727	67	34	2277307	2277293	14	0	14	4	10	10	0	0	0	5	4	1	0	0	0	0	5	0	RELATIONAL_EXCLUDED	-1	-1	-1	2.3782		
0	9440	69	34	4654092	4654085	7	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	5.43325		
0	10098	68	34	2484457	2484454	3	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RELATIONAL_EXCLUDED	-1	-1	-1	2.69957		
0	11007	71	34	521003	520730	273	0	273	69	204	204	0	2	21	61	83	34	3	0	0	0	6	0	RELATIONAL_EXCLUDED	-1	-1	-1	0.573651		
1	429	73	41	300022	299203	819	0	819	723	96	96	0	3	29	47	17	0	0	0	0	0	4	0	RELATIONAL_EXCLUDED	-1	-1	-1	0.365287		
