layer	state_id	witness_q	source
0	232	0,0,0,0,0,1,1,1,2,2,2,2,3,3,6,6,6,6	neighbourhood_exact
0	978	0,0,1,1,1,1,1,1,3,3,3,3,7,7,4,5,5,5	neighbourhood_exact
0	979	0,0,1,1,1,1,1,1,3,3,3,3,7,7,4,5,5,5	neighbourhood_exact
0	1312	0,0,1,1,1,1,1,1,3,3,3,6,7,5,5,5,6,3	neighbourhood_exact
0	1313	0,0,1,1,1,1,1,1,3,3,3,6,7,5,5,5,3,6	neighbourhood_exact
0	1315	0,0,1,1,1,1,1,1,3,3,5,6,3,5,5,6,7,3	neighbourhood_exact
0	1316	0,0,1,1,1,1,1,1,3,3,7,3,3,3,5,5,7,7	neighbourhood_exact
0	2034	0,0,1,1,1,1,1,1,4,5,3,3,3,3,6,6,7,7	neighbourhood_exact
0	2043	0,0,1,1,1,1,1,1,3,6,3,3,3,3,6,6,8,7	neighbourhood_exact
0	2044	0,0,1,1,1,1,1,1,3,3,3,3,6,6,6,6,6,6	neighbourhood_exact
0	2045	0,0,1,1,1,1,1,1,3,6,2,3,3,5,5,7,7,7	neighbourhood_exact
0	2070	0,1,1,1,1,1,1,1,4,7,3,3,3,3,6,8,8,4	neighbourhood_exact
0	2139	0,0,0,0,0,0,4,6,7,7,2,2,2,2,6,7,7,7	neighbourhood_exact
0	2167	0,0,0,0,0,0,4,6,7,7,2,2,2,2,7,7,7,7	neighbourhood_exact
0	2183	0,0,1,1,1,1,1,1,3,6,3,3,3,3,6,7,8,6	old-feasible_bfs
0	2184	0,0,1,1,1,1,1,1,3,3,3,3,3,6,6,6,7,8	old-feasible_bfs
0	2185	0,0,1,1,1,1,1,1,5,5,3,3,3,3,6,6,7,7	neighbourhood_exact
0	2284	0,0,1,1,1,1,1,2,3,3,5,5,5,5,7,7,7,3	old-feasible_bfs
0	2285	0,0,1,1,1,1,1,2,5,5,3,3,6,6,8,8,3,3	neighbourhood_exact
0	2287	0,1,1,1,1,1,1,1,6,3,3,3,3,3,8,8,8,5	neighbourhood_exact
0	2288	0,1,1,1,1,1,1,1,3,3,3,3,3,7,7,7,7,7	neighbourhood_exact
0	2331	0,0,0,0,0,2,2,4,5,6,2,2,2,5,7,7,7,7	neighbourhood_exact
0	2547	0,0,1,1,1,1,1,3,3,3,3,3,5,5,7,7,7,5	neighbourhood_exact
0	2548	0,0,1,1,1,1,1,3,3,3,3,3,5,5,5,6,7,8	complete_primary_enumeration
0	2550	0,0,1,1,1,1,2,3,2,2,3,4,5,6,6,6,6,6	neighbourhood_exact
0	2564	0,0,0,0,0,2,3,3,4,4,6,6,6,6,6,6,6,6	neighbourhood_exact
0	2571	0,0,1,1,1,1,1,2,4,3,3,3,3,5,6,8,8,8	neighbourhood_exact
0	2581	0,0,1,1,1,1,1,2,3,3,3,3,5,5,8,8,8,5	old-feasible_bfs
0	2770	0,0,1,1,1,1,1,3,3,2,3,3,6,7,7,7,7,5	neighbourhood_exact
0	2771	0,0,1,1,1,1,1,3,3,2,2,6,7,7,7,7,3,6	neighbourhood_exact
0	2773	0,0,1,1,1,1,1,3,2,3,3,3,6,7,7,7,7,5	neighbourhood_exact
0	2779	0,0,1,1,1,1,2,3,2,3,3,5,5,5,6,6,6,6	neighbourhood_exact
0	2839	0,0,1,1,1,1,1,2,3,3,3,3,5,5,6,8,8,8	neighbourhood_exact
0	3178	0,0,1,1,1,1,1,3,3,3,3,3,3,6,8,8,8,6	neighbourhood_exact
0	3179	0,0,1,1,1,1,1,3,2,3,3,6,6,7,7,7,5,5	neighbourhood_exact
0	3184	0,0,1,1,1,1,2,3,3,3,3,5,5,6,6,6,6,5	neighbourhood_exact
0	3186	0,1,1,1,1,1,2,2,3,3,3,5,5,5,6,6,6,6	neighbourhood_exact
0	3344	0,0,1,1,1,1,2,3,2,3,3,6,6,6,6,6,7,5	neighbourhood_exact
0	3349	0,1,1,1,1,1,2,2,2,3,3,6,6,6,6,6,6,6	neighbourhood_exact
0	4629	0,1,1,1,1,1,1,3,3,7,7,7,7,3,3,3,7,8	neighbourhood_exact
0	4687	0,1,1,1,1,1,1,3,3,6,6,8,8,3,3,3,8,8	old-feasible_bfs
0	4888	0,0,1,1,1,1,1,3,3,3,3,3,7,6,7,7,7,7	old-feasible_bfs
0	5167	0,0,1,1,1,1,2,2,3,3,7,7,7,6,6,6,6,7	old-feasible_bfs
0	5216	0,0,1,1,1,1,2,3,3,3,3,7,8,4,7,7,7,7	neighbourhood_exact
0	5666	0,0,1,1,2,2,2,3,3,3,5,6,7,5,5,5,6,6	neighbourhood_exact
0	5694	0,1,1,1,1,1,1,3,3,3,3,3,7,7,7,7,7,8	old-feasible_bfs
0	5710	0,0,1,1,1,1,3,4,5,2,3,3,3,7,7,7,7,7	neighbourhood_exact
0	5802	0,0,1,1,2,2,2,2,3,3,4,8,8,5,5,5,6,6	neighbourhood_exact
0	5834	0,0,1,1,1,1,3,3,2,3,3,7,7,5,6,6,7,7	neighbourhood_exact
0	5915	0,0,1,1,1,1,3,3,3,3,7,7,7,5,5,5,6,6	neighbourhood_exact
0	5926	0,0,1,1,2,2,2,3,3,3,7,7,8,5,5,5,5,5	neighbourhood_exact
0	5932	0,0,1,1,1,1,2,3,3,3,7,7,7,5,5,5,7,7	old-feasible_bfs
0	5973	0,0,1,1,1,1,2,3,3,3,3,8,8,6,6,6,6,6	neighbourhood_exact
0	5993	0,1,1,1,1,1,3,3,2,4,7,7,7,5,5,6,6,6	neighbourhood_exact
0	6095	0,0,1,1,2,2,2,3,3,4,4,7,7,5,5,5,6,8	old-feasible_bfs
0	6102	0,0,1,1,1,1,2,2,3,3,7,7,7,6,6,6,6,7	old-feasible_bfs
0	6103	0,0,1,1,1,2,2,3,3,4,7,7,8,5,5,5,6,6	multi-jump_exact
0	6133	0,0,1,1,1,1,2,3,3,3,7,7,8,6,6,6,6,6	old-feasible_bfs
0	6134	1,1,1,1,1,1,2,3,3,7,7,7,1,6,6,6,6,7	neighbourhood_exact
0	6135	0,0,1,1,1,1,2,3,3,3,3,7,7,6,6,7,7,7	neighbourhood_exact
0	6139	0,1,1,1,1,1,2,3,3,3,7,8,8,5,5,6,6,6	neighbourhood_exact
0	6261	0,0,1,1,1,1,2,3,3,3,3,7,7,7,7,7,7,6	neighbourhood_exact
0	6262	0,0,1,1,1,1,3,3,3,7,7,8,2,3,5,7,7,7	neighbourhood_exact
0	6273	0,1,1,1,1,1,2,3,3,3,3,7,7,5,7,7,7,7	neighbourhood_exact
0	6848	0,1,1,1,1,1,1,4,4,3,3,8,3,3,7,8,8,8	neighbourhood_exact
0	6952	0,0,0,1,2,2,2,3,3,6,6,7,4,4,6,6,6,6	neighbourhood_exact
0	6970	0,0,1,1,1,1,3,3,2,6,6,7,3,3,6,7,7,7	neighbourhood_exact
0	7015	0,0,1,1,1,1,3,3,3,6,6,7,2,6,6,6,6,7	neighbourhood_exact
0	7072	0,0,1,1,1,1,3,3,3,6,7,7,2,6,6,7,7,6	neighbourhood_exact
0	7073	0,0,1,1,1,1,3,3,3,6,8,3,6,6,6,6,6,7	neighbourhood_exact
0	7079	0,1,1,1,1,1,3,3,2,6,7,7,2,6,6,6,7,7	neighbourhood_exact
0	7188	1,1,1,1,1,1,2,3,3,7,7,7,1,6,6,6,6,7	neighbourhood_exact
0	7189	0,0,1,1,1,2,2,3,3,7,7,7,3,5,5,5,7,8	old-feasible_bfs
0	7209	0,0,1,1,1,1,2,3,3,6,8,8,3,6,6,6,6,6	neighbourhood_exact
0	7219	0,0,1,1,1,1,2,3,3,7,8,8,3,6,6,6,6,6	neighbourhood_exact
0	7220	0,0,1,1,1,1,2,3,7,8,8,3,3,6,6,6,6,6	old-feasible_bfs
0	7221	0,0,1,1,1,1,2,3,3,7,7,7,3,3,6,7,7,7	neighbourhood_exact
0	7225	0,1,1,1,1,1,2,3,3,7,7,8,3,6,6,6,6,6	neighbourhood_exact
0	7322	0,0,1,1,1,1,3,3,3,6,8,8,3,5,5,7,7,7	multi-jump_exact
0	7323	0,0,1,1,1,1,3,3,6,7,8,2,3,3,7,7,7,7	neighbourhood_exact
