layer	state_id	profiles_tested	paircap_fail	paircap_pass	incidence_fail	incidence_pass	pairhall_fail	pairhall_pass	targethall_fail	targethall_pass	cost_fail	cost_pass	core_fail	core_capacity_fail	core_high_fail	status
0	152	27787962	22696443	216021	2606	213415	109431	103984	103974	10	10	0	4875498	4310835	564663	FORCED_CORE_EXCLUDED
0	2812	4644060	4404495	13894	0	13894	5751	8143	8140	3	3	0	225671	160617	65054	FORCED_CORE_EXCLUDED
0	9347	5042171	3843358	2378	48	2330	1494	836	836	0	0	0	1196435	480179	716256	FORCED_CORE_EXCLUDED
0	9634	3356702	2526344	636	43	593	226	367	367	0	0	0	829722	360428	469294	FORCED_CORE_EXCLUDED
0	9635	5214032	3833942	1212	48	1164	392	772	772	0	0	0	1378878	454782	924096	FORCED_CORE_EXCLUDED
0	9694	5214032	3833942	1212	48	1164	392	772	772	0	0	0	1378878	454782	924096	FORCED_CORE_EXCLUDED
0	9724	4047466	3077041	1435	36	1399	842	557	557	0	0	0	968990	375210	593780	FORCED_CORE_EXCLUDED
0	9848	4758019	3130461	528	33	495	193	302	302	0	0	0	1627030	438551	1188479	FORCED_CORE_EXCLUDED
0	9850	4047466	2848572	3068	146	2922	1607	1315	1315	0	0	0	1195826	375210	820616	FORCED_CORE_EXCLUDED
0	10025	5538908	4061596	456	0	456	56	400	400	0	0	0	1476856	387719	1089137	FORCED_CORE_EXCLUDED
0	10046	3356702	2526078	636	43	593	226	367	367	0	0	0	829988	360428	469560	FORCED_CORE_EXCLUDED
0	10047	3161414	2350382	501	36	465	82	383	383	0	0	0	810531	189180	621351	FORCED_CORE_EXCLUDED
0	10064	5050864	3403885	254	56	198	21	177	177	0	0	0	1646725	371056	1275669	FORCED_CORE_EXCLUDED
0	10066	3356702	2342873	1169	126	1043	430	613	613	0	0	0	1012660	360424	652236	FORCED_CORE_EXCLUDED
0	10077	3116115	2412948	906	28	878	481	397	397	0	0	0	702261	227484	474777	FORCED_CORE_EXCLUDED
0	10080	5336991	4288244	845	50	795	366	429	429	0	0	0	1047902	233432	814470	FORCED_CORE_EXCLUDED
0	10220	3116115	2412948	906	28	878	481	397	397	0	0	0	702261	227484	474777	FORCED_CORE_EXCLUDED
0	10270	2871038	1927014	241	34	207	26	181	181	0	0	0	943783	180754	763029	FORCED_CORE_EXCLUDED
0	10272	3116115	2232634	1790	113	1677	820	857	857	0	0	0	881691	227484	654207	FORCED_CORE_EXCLUDED
0	10505	2879556	2033183	289	24	265	172	93	93	0	0	0	846084	219149	626935	FORCED_CORE_EXCLUDED
0	10850	2247120	1646280	694	116	578	393	185	185	0	0	0	600146	106543	493603	FORCED_CORE_EXCLUDED
0	10861	5551113	4465277	870	11	859	574	285	285	0	0	0	1084966	209142	875824	FORCED_CORE_EXCLUDED
0	10926	5114179	4268988	634	30	604	296	308	308	0	0	0	844557	102599	741958	FORCED_CORE_EXCLUDED
0	11056	2785466	2087201	2143	0	2143	1683	460	460	0	0	0	696122	183946	512176	FORCED_CORE_EXCLUDED
