layer	state_id	old_pass	barrier_pass	forced_sources	available_capacity
0	232	1	1	0	0
0	978	1	1	6	6
0	979	1	1	6	6
0	1312	1	1	6	6
0	1313	1	1	6	6
0	1315	1	1	6	6
0	1316	1	1	6	6
0	2034	1	1	6	6
0	2043	1	1	6	6
0	2044	1	1	6	6
0	2045	1	1	6	6
0	2070	1	1	6	7
0	2139	1	1	0	0
0	2167	1	1	0	0
0	2183	1	1	6	6
0	2184	1	1	6	6
0	2185	1	1	6	6
0	2284	1	1	5	6
0	2285	1	1	5	6
0	2287	1	1	6	7
0	2288	1	1	6	7
0	2331	1	1	0	0
0	2547	1	1	5	6
0	2548	1	1	5	6
0	2550	1	1	4	6
0	2564	1	1	0	0
0	2571	1	1	5	6
0	2581	1	1	5	6
0	2770	1	1	5	6
0	2771	1	1	5	6
0	2773	1	1	5	6
0	2779	1	1	4	6
0	2839	1	1	5	6
0	3178	1	1	5	6
0	3179	1	1	5	6
0	3184	1	1	4	6
0	3186	1	1	4	7
0	3344	1	1	4	6
0	3349	1	0	4	3
0	4629	1	0	5	3
0	4687	1	0	5	3
0	4888	1	1	5	6
0	5167	1	1	4	6
0	5216	1	1	4	6
0	5666	1	1	3	12
0	5694	1	0	5	3
0	5710	1	1	4	6
0	5802	1	1	3	15
0	5834	1	1	4	6
0	5915	1	1	4	6
0	5926	1	1	3	12
0	5932	1	1	4	6
0	5973	1	1	4	6
0	5993	1	0	4	3
0	6095	1	1	3	12
0	6102	1	1	4	6
0	6103	1	1	3	6
0	6133	1	1	4	6
0	6134	1	1	6	6
0	6135	1	1	4	6
0	6139	1	0	4	3
0	6261	1	1	4	6
0	6262	1	1	4	6
0	6273	1	0	4	3
0	6848	1	0	5	3
0	6952	1	1	3	12
0	6970	1	1	4	6
0	7015	1	1	4	6
0	7072	1	1	4	6
0	7073	1	1	4	6
0	7079	1	0	4	3
0	7188	1	1	6	6
0	7189	1	1	3	6
0	7209	1	1	4	6
0	7219	1	1	4	6
0	7220	1	1	4	6
0	7221	1	1	4	6
0	7225	1	0	4	3
0	7322	1	1	4	6
0	7323	1	1	4	6
0	7327	1	0	4	3
0	7611	1	1	3	12
0	7624	1	1	4	6
0	7682	1	1	4	6
0	7721	1	1	4	6
0	7722	1	1	4	6
0	7728	1	0	4	3
0	7855	1	1	4	6
0	7928	1	1	4	6
0	7932	1	0	4	3
0	8254	1	0	4	6
0	8281	1	1	4	6
0	8353	1	1	6	6
0	8358	1	0	4	3
0	8622	1	1	4	6
0	8671	1	1	6	6
0	8732	1	1	4	6
0	9013	1	1	6	6
0	9084	1	1	6	6
0	9104	1	1	6	6
0	9105	1	1	6	6
0	9106	1	1	6	6
0	9107	1	0	4	3
0	9169	1	1	6	6
0	9190	1	1	4	6
0	9338	1	1	4	6
0	9339	1	1	4	6
0	9340	1	0	4	3
0	9552	1	1	6	6
0	9571	1	1	6	6
0	9572	1	1	6	6
0	9573	1	0	4	3
0	9714	1	1	4	6
0	9851	1	0	4	3
0	10043	1	1	4	6
0	10067	1	1	4	6
0	10068	1	0	4	3
0	10210	1	1	4	6
0	10276	1	0	4	3
0	10509	1	0	4	3
0	10510	1	0	4	3
0	10845	1	0	4	6
0	11079	1	1	5	5
1	18	1	1	6	8
