state_id	profiles_tested	forced_core_fail	pair_capacity_fail	incidence_threshold_fail	pair_slot_threshold_fail	target_threshold_fail	remaining_after_thresholds
2812	4644060	225671	4404495	0	5751	8140	3
9347	5042171	1196435	3843358	48	1494	836	0
9634	3356702	829722	2526344	43	226	367	0
9635	5214032	1378878	3833942	48	392	772	0
9694	5214032	1378878	3833942	48	392	772	0
9724	4047466	968990	3077041	36	842	557	0
9848	4758019	1627030	3130461	33	193	302	0
9850	4047466	1195826	2848572	146	1607	1315	0
10025	5538908	1476856	4061596	0	56	400	0
10046	3356702	829988	2526078	43	226	367	0
10047	3161414	810531	2350382	36	82	383	0
10064	5050864	1646725	3403885	56	21	177	0
10066	3356702	1012660	2342873	126	430	613	0
10077	3116115	702261	2412948	28	481	397	0
10080	5336991	1047902	4288244	50	366	429	0
10220	3116115	702261	2412948	28	481	397	0
10270	2871038	943783	1927014	34	26	181	0
10272	3116115	881691	2232634	113	820	857	0
10505	2879556	846084	2033183	24	172	93	0
10850	2247120	600146	1646280	116	393	185	0
10861	5551113	1084966	4465277	11	574	285	0
10926	5114179	844557	4268988	30	296	308	0
11056	2785466	696122	2087201	0	1683	460	0
