layer	state_id	rejected
n34-m289	60	0
n34-m289	66	0
n34-m289	77	0
n34-m289	97	0
n34-m289	98	0
n34-m289	121	0
n34-m289	122	0
n34-m289	124	0
n34-m289	129	0
n34-m289	141	0
n34-m289	142	0
n34-m289	143	0
n34-m289	152	0
n34-m289	153	0
n34-m289	154	0
n34-m289	159	0
n34-m289	174	0
n34-m289	184	0
n34-m289	202	0
n34-m289	203	0
n34-m289	206	0
n34-m289	223	0
n34-m289	224	0
n34-m289	226	0
n34-m289	227	0
n34-m289	229	0
n34-m289	230	0
n34-m289	231	0
n34-m289	232	0
n34-m289	234	0
n34-m289	235	0
n34-m289	239	0
n34-m289	245	0
n34-m289	246	0
n34-m289	247	0
n34-m289	249	0
n34-m289	250	0
n34-m289	251	0
n34-m289	254	0
n34-m289	255	0
n34-m289	257	0
n34-m289	259	0
n34-m289	260	0
n34-m289	261	0
n34-m289	278	0
n34-m289	279	0
n34-m289	281	0
n34-m289	282	0
n34-m289	283	0
n34-m289	293	0
n34-m289	307	0
n34-m289	310	0
n34-m289	316	0
n34-m289	317	0
n34-m289	320	0
n34-m289	331	0
n34-m289	332	0
n34-m289	338	0
n34-m289	339	0
n34-m289	342	0
n34-m289	375	0
n34-m289	381	0
n34-m289	382	0
n34-m289	385	0
n34-m289	404	0
n34-m289	440	0
n34-m289	447	0
n34-m289	518	0
n34-m289	519	0
n34-m289	526	0
n34-m289	588	0
n34-m289	620	0
n34-m289	625	0
n34-m289	631	0
n34-m289	646	0
n34-m289	663	0
n34-m289	699	0
n34-m289	704	0
n34-m289	705	0
n34-m289	710	0
n34-m289	712	0
n34-m289	713	0
n34-m289	715	0
n34-m289	716	0
n34-m289	717	0
n34-m289	718	0
n34-m289	730	0
n34-m289	731	0
n34-m289	732	0
n34-m289	733	0
n34-m289	738	0
n34-m289	743	0
n34-m289	753	0
n34-m289	754	0
n34-m289	758	0
n34-m289	789	0
n34-m289	790	0
n34-m289	791	0
n34-m289	795	0
n34-m289	811	0
n34-m289	835	0
n34-m289	836	0
n34-m289	840	0
n34-m289	899	0
n34-m289	911	0
n34-m289	916	0
n34-m289	923	0
n34-m289	939	0
n34-m289	942	0
n34-m289	943	0
n34-m289	945	0
n34-m289	946	0
n34-m289	947	0
n34-m289	948	0
n34-m289	960	0
n34-m289	961	0
n34-m289	962	0
n34-m289	963	0
n34-m289	964	0
n34-m289	965	0
n34-m289	967	0
n34-m289	968	0
n34-m289	969	0
n34-m289	970	0
n34-m289	971	0
n34-m289	972	0
n34-m289	973	0
n34-m289	974	0
n34-m289	975	0
n34-m289	978	0
n34-m289	979	0
n34-m289	981	0
n34-m289	982	0
n34-m289	984	0
n34-m289	985	0
n34-m289	987	0
n34-m289	988	0
n34-m289	989	0
n34-m289	990	0
n34-m289	1014	0
n34-m289	1015	0
n34-m289	1017	0
n34-m289	1018	0
n34-m289	1020	0
n34-m289	1021	0
n34-m289	1022	0
n34-m289	1024	0
n34-m289	1025	0
n34-m289	1026	0
n34-m289	1027	0
n34-m289	1028	0
n34-m289	1030	0
n34-m289	1031	0
n34-m289	1032	0
n34-m289	1033	0
n34-m289	1034	0
n34-m289	1035	0
n34-m289	1036	0
n34-m289	1039	0
n34-m289	1040	0
n34-m289	1042	0
n34-m289	1043	0
n34-m289	1045	0
n34-m289	1046	0
n34-m289	1047	0
n34-m289	1048	0
n34-m289	1065	0
n34-m289	1066	0
n34-m289	1068	0
n34-m289	1069	0
n34-m289	1071	0
n34-m289	1072	0
n34-m289	1074	0
n34-m289	1075	0
n34-m289	1076	0
n34-m289	1077	0
n34-m289	1088	0
n34-m289	1112	0
n34-m289	1113	0
n34-m289	1117	0
n34-m289	1161	0
n34-m289	1162	0
n34-m289	1164	0
n34-m289	1165	0
n34-m289	1174	0
n34-m289	1175	0
n34-m289	1176	0
n34-m289	1180	0
n34-m289	1244	0
n34-m289	1245	0
n34-m289	1256	0
n34-m289	1264	0
n34-m289	1269	0
n34-m289	1270	0
n34-m289	1275	0
n34-m289	1276	0
n34-m289	1277	0
n34-m289	1279	0
n34-m289	1280	0
n34-m289	1281	0
n34-m289	1282	0
n34-m289	1294	0
n34-m289	1295	0
n34-m289	1296	0
n34-m289	1297	0
n34-m289	1301	0
n34-m289	1302	0
n34-m289	1303	0
n34-m289	1304	0
n34-m289	1306	0
n34-m289	1307	0
n34-m289	1308	0
n34-m289	1309	0
n34-m289	1312	0
n34-m289	1313	0
n34-m289	1315	0
n34-m289	1316	0
n34-m289	1318	0
n34-m289	1319	0
n34-m289	1321	0
n34-m289	1322	0
n34-m289	1323	0
n34-m289	1324	0
n34-m289	1348	0
n34-m289	1349	0
n34-m289	1351	0
n34-m289	1352	0
n34-m289	1354	0
n34-m289	1355	0
n34-m289	1356	0
n34-m289	1358	0
n34-m289	1359	0
n34-m289	1360	0
n34-m289	1361	0
n34-m289	1362	0
n34-m289	1364	0
n34-m289	1365	0
n34-m289	1366	0
n34-m289	1367	0
n34-m289	1368	0
n34-m289	1369	0
n34-m289	1370	0
n34-m289	1373	0
n34-m289	1374	0
n34-m289	1376	0
n34-m289	1377	0
n34-m289	1379	0
n34-m289	1380	0
n34-m289	1381	0
n34-m289	1382	0
n34-m289	1399	0
n34-m289	1400	0
n34-m289	1402	0
n34-m289	1403	0
n34-m289	1405	0
n34-m289	1406	0
n34-m289	1408	0
n34-m289	1409	0
n34-m289	1410	0
n34-m289	1411	0
n34-m289	1422	0
n34-m289	1446	0
n34-m289	1447	0
n34-m289	1451	0
n34-m289	1469	0
n34-m289	1470	0
n34-m289	1472	0
n34-m289	1473	0
n34-m289	1482	0
n34-m289	1483	0
n34-m289	1484	0
n34-m289	1488	0
n34-m289	1552	0
n34-m289	1553	0
n34-m289	1564	0
n34-m289	1572	0
n34-m289	1577	0
n34-m289	1578	0
n34-m289	1583	0
n34-m289	1584	0
n34-m289	1585	0
n34-m289	1587	0
n34-m289	1588	0
n34-m289	1589	0
n34-m289	1590	0
n34-m289	1594	0
n34-m289	1596	0
n34-m289	1602	0
n34-m289	1603	0
n34-m289	1604	0
n34-m289	1605	0
n34-m289	1611	0
n34-m289	1616	0
n34-m289	1626	0
n34-m289	1627	0
n34-m289	1631	0
n34-m289	1662	0
n34-m289	1663	0
n34-m289	1664	0
n34-m289	1668	0
n34-m289	1670	0
n34-m289	1672	0
n34-m289	1673	0
n34-m289	1674	0
n34-m289	1675	0
n34-m289	1676	0
n34-m289	1677	0
n34-m289	1678	0
n34-m289	1681	0
n34-m289	1682	0
n34-m289	1684	0
n34-m289	1685	0
n34-m289	1687	0
n34-m289	1688	0
n34-m289	1689	0
n34-m289	1690	0
n34-m289	1693	0
n34-m289	1694	0
n34-m289	1696	0
n34-m289	1697	0
n34-m289	1699	0
n34-m289	1700	0
n34-m289	1702	0
n34-m289	1703	0
n34-m289	1704	0
n34-m289	1705	0
n34-m289	1716	0
n34-m289	1740	0
n34-m289	1741	0
n34-m289	1745	0
n34-m289	1763	0
n34-m289	1764	0
n34-m289	1766	0
n34-m289	1767	0
n34-m289	1776	0
n34-m289	1777	0
n34-m289	1778	0
n34-m289	1782	0
n34-m289	1846	0
n34-m289	1847	0
n34-m289	1858	0
n34-m289	1871	0
n34-m289	1873	0
n34-m289	1876	0
n34-m289	1877	0
