100 {'hand': 34, 'certificates': 47, 'unresolved': 19}
200 {'hand': 69, 'certificates': 104, 'unresolved': 27}
300 {'hand': 102, 'certificates': 161, 'unresolved': 37}
400 {'hand': 134, 'certificates': 216, 'unresolved': 50}
500 {'hand': 167, 'certificates': 265, 'unresolved': 68}
600 {'hand': 222, 'certificates': 303, 'unresolved': 75}
700 {'hand': 269, 'certificates': 356, 'unresolved': 75}
800 {'hand': 300, 'certificates': 416, 'unresolved': 84}
900 {'hand': 352, 'certificates': 456, 'unresolved': 92}
1000 {'hand': 376, 'certificates': 522, 'unresolved': 102}
1100 {'hand': 406, 'certificates': 586, 'unresolved': 108}
1200 {'hand': 439, 'certificates': 639, 'unresolved': 122}
1300 {'hand': 479, 'certificates': 675, 'unresolved': 146}
1400 {'hand': 526, 'certificates': 700, 'unresolved': 174}
1500 {'hand': 567, 'certificates': 737, 'unresolved': 196}
1600 {'hand': 604, 'certificates': 761, 'unresolved': 235}
1614 {'hand': 611, 'certificates': 761, 'unresolved': 242}
