10 {'hand': 0, 'certificates': 10, 'unresolved': 0}
20 {'hand': 0, 'certificates': 20, 'unresolved': 0}
30 {'hand': 0, 'certificates': 30, 'unresolved': 0}
40 {'hand': 0, 'certificates': 40, 'unresolved': 0}
50 {'hand': 0, 'certificates': 50, 'unresolved': 0}
60 {'hand': 0, 'certificates': 60, 'unresolved': 0}
70 {'hand': 0, 'certificates': 70, 'unresolved': 0}
80 {'hand': 0, 'certificates': 80, 'unresolved': 0}
90 {'hand': 0, 'certificates': 90, 'unresolved': 0}
100 {'hand': 0, 'certificates': 100, 'unresolved': 0}
110 {'hand': 0, 'certificates': 110, 'unresolved': 0}
120 {'hand': 0, 'certificates': 120, 'unresolved': 0}
130 {'hand': 0, 'certificates': 130, 'unresolved': 0}
137 {'hand': 0, 'certificates': 137, 'unresolved': 0}
140 {'hand': 0, 'certificates': 140, 'unresolved': 0}
142 {'hand': 0, 'certificates': 142, 'unresolved': 0}
COMPLETE 142
